项目名称,房源描述,建筑面积,户型,楼层,总层数,朝向,建筑年代,单价（元/平米）,总价（万元）,所属学校,距离学校,所在区县,学区内小区个数,普通,小班教学,区重点,体育类,艺术类,语文类,双语,科技类,名校附属,市重点,外语类,室,厅,距离学校_米,房龄,楼层_数值
三里亭苑三区,"三里亭三区,毛坯修, 一梯两户,两房朝南, 赶紧点进来",58,2室1厅,中层,7,南北向,1996.0,31743,185.0,杭州天杭教育集团天杭实验学校,0.33km,三里亭,20个小区,0,1,1,0,0,0,0,0,0,0,0,2,1,330.0,30.0,2
三里亭苑三区,"三里亭特价房直降6万!首付33万,送12万精装修,诚售",60,2室1厅,中层,6,南北向,1997.0,28239,170.0,杭州天杭教育集团天杭实验学校,0.33km,三里亭,20个小区,0,1,1,0,0,0,0,0,0,0,0,2,1,330.0,29.0,2
三里亭苑三区,"新上优房免双税可省8万元,15年自住18万精装婚房天杭9年制",51,2室1厅,中层,7,南向,2000.0,32541,167.0,杭州天杭教育集团天杭实验学校,0.33km,三里亭,20个小区,0,1,1,0,0,0,0,0,0,0,0,2,1,330.0,26.0,2
三里亭苑三区,"3房格局,两房朝南,低于市场价3000",77,3室1厅,高层,7,南北向,1996.0,31311,240.0,杭州天杭教育集团天杭实验学校,0.33km,三里亭,20个小区,0,1,1,0,0,0,0,0,0,0,0,3,1,330.0,30.0,3
三里亭苑三区,39万首付 月供3000 可租3000 租不如买 利率9折,57,2室2厅,中层,7,东北向,1999.0,25789,147.0,杭州天杭教育集团天杭实验学校,0.33km,三里亭,20个小区,0,1,1,0,0,0,0,0,0,0,0,2,2,330.0,27.0,2
三里亭苑三区,三里亭 闸弄口 小两房 158W 房东诚心出售,53,2室1厅,高层,7,南北向,1996.0,29811,158.0,杭州天杭教育集团天杭实验学校,0.33km,三里亭,20个小区,0,1,1,0,0,0,0,0,0,0,0,2,1,330.0,30.0,3
仲外公寓,"纯边套大四房,客厅带大阳台,全明,带车位,地理位置",125,3室2厅,高层,26,南北向,2000.0,28000,350.0,下沙经济开发区学林街小学,0.53km,下沙物美,5个小区,1,0,0,0,0,1,0,0,0,0,0,3,2,530.0,26.0,3
仲外公寓,"中外精装三房,房东居住一年,保养好,置换大套急需用钱!!",89,3室2厅,中层,26,南北向,2013.0,37079,330.0,下沙经济开发区学林街小学,0.53km,下沙物美,5个小区,1,0,0,0,0,1,0,0,0,0,0,3,2,530.0,13.0,2
缤纷小区,"春波小区 架空一楼,正气三房,东边套,卫浴全明,价格可谈",81,2室2厅,低层,6,南北向,2000.0,30864,250.0,丹枫实验小学,0.78km,长河,6个小区,0,1,1,0,0,0,0,0,0,0,0,2,2,780.0,26.0,1
缤纷小区,"缤纷大4房,153方400万,带车位,家具家电全送",153,4室2厅,低层,6,南北向,2007.0,26144,400.0,丹枫实验小学,0.78km,长河,6个小区,0,1,1,0,0,0,0,0,0,0,0,4,2,780.0,19.0,1
缤纷小区,全新挂牌 缤纷小区送储藏室 丹枫实验 双 滨江核心,84,3室1厅,高层,6,南北向,2009.0,29167,245.0,丹枫实验小学,0.78km,长河,6个小区,0,1,1,0,0,0,0,0,0,0,0,3,1,780.0,17.0,3
闸弄口铁路宿舍,阳光楼层 1梯2户 40W首付 精装修 近一号线,52,2室2厅,中层,5,南北向,1990.0,27308,142.0,浙江省教育科学研究院附属实验学校,0.50km,闸弄口,14个小区,0,1,1,0,0,0,0,0,0,0,0,2,2,500.0,36.0,2
清河家园,"改善置换实用三房清清爽爽,不沿马路太阳光很好。地_口小区",73,3室2厅,高层,6,南北向,2003.0,34247,250.0,杭州市教育科学研究所附属小学,0.32km,南星,7个小区,1,1,0,0,0,0,0,1,0,0,0,3,2,320.0,23.0,3
清河家园,"清河家园,全明边套,三楼,小区无遮挡,南北通透,精装修",51,2室1厅,中层,7,南北向,2004.0,42009,215.0,杭州市教育科学研究所附属小学,0.32km,南星,7个小区,1,1,0,0,0,0,0,1,0,0,0,2,1,320.0,22.0,2
仲外公寓,德信中外公寓 自住精装40万 繁华商 带车位 395万!!,125,4室2厅,中层,21,南北向,2012.0,32960,412.0,下沙经济开发区学林街小学,0.53km,下沙物美,5个小区,1,0,0,0,0,1,0,0,0,0,0,4,2,530.0,14.0,2
仲外公寓,德信仲外大三房 可做四房东边套 诚心出售 你值得拥有,126,3室2厅,中层,22,南北向,2012.0,27826,350.0,下沙经济开发区学林街小学,0.53km,下沙物美,5个小区,1,0,0,0,0,1,0,0,0,0,0,3,2,530.0,14.0,2
仲外公寓,中外公寓户型正气、大三房 南北通透楼层好采光佳,89,3室2厅,高层,11,南北向,2012.0,39326,350.0,下沙经济开发区学林街小学,0.53km,下沙物美,5个小区,1,0,0,0,0,1,0,0,0,0,0,3,2,530.0,14.0,3
仲外公寓,仲外公寓125方大三房 客厅带阳台 精装全送外加一个车位,125,3室2厅,高层,30,南向,2012.0,34000,425.0,下沙经济开发区学林街小学,0.53km,下沙物美,5个小区,1,0,0,0,0,1,0,0,0,0,0,3,2,530.0,14.0,3
仲外公寓,中外公寓 大三房 双阳台 送自住精装35万 送车位 保养好,89,3室2厅,中层,26,南北向,2013.0,37079,330.0,下沙经济开发区学林街小学,0.53km,下沙物美,5个小区,1,0,0,0,0,1,0,0,0,0,0,3,2,530.0,13.0,2
仲外公寓,"中外公寓精美洋房,豪华装修,满两年,490万房东诚心出售",135,3室2厅,中层,6,南向,2012.0,36296,490.0,下沙经济开发区学林街小学,0.53km,下沙物美,5个小区,1,0,0,0,0,1,0,0,0,0,0,3,2,530.0,14.0,2
仲外公寓,"中外公寓,2房精致户型,小区中间位置,好楼层,你来就可以看房",70,2室1厅,中层,26,南北向,2012.0,30216,210.0,下沙经济开发区学林街小学,0.53km,下沙物美,5个小区,1,0,0,0,0,1,0,0,0,0,0,2,1,530.0,14.0,2
仲外公寓,房东诚心卖房东诚心卖 价格实惠低于市场价 你确定不来看看?,69,2室1厅,低层,26,南北向,2012.0,30725,212.0,下沙经济开发区学林街小学,0.53km,下沙物美,5个小区,1,0,0,0,0,1,0,0,0,0,0,2,1,530.0,14.0,1
荷花塘小区,"低总价!无营业税 无贷款可带 荷花塘小区,诚心出售!",61,2室1厅,低层,6,南北向,2000.0,13839,85.0,余杭育才实验小学,0.59km,余杭,7个小区,0,1,1,0,0,0,1,0,0,0,0,2,1,590.0,26.0,1
荷花塘小区,"无营业税 无贷款可带 荷花塘小区,诚心出售",61,2室1厅,低层,6,南北向,2000.0,10908,67.0,余杭育才实验小学,0.59km,余杭,7个小区,0,1,1,0,0,0,1,0,0,0,0,2,1,590.0,26.0,1
荷花塘小区,"万宝城旁,低总价!精装修 位置好 荷花塘小区,诚心出售!",60,2室1厅,高层,6,南北向,2000.0,15000,90.0,余杭育才实验小学,0.59km,余杭,7个小区,0,1,1,0,0,0,1,0,0,0,0,2,1,590.0,26.0,3
荷花塘小区,"60方105万,送全新精装。满5年就一套。送房。",60,2室2厅,低层,6,南北向,2000.0,17500,105.0,余杭育才实验小学,0.59km,余杭,7个小区,0,1,1,0,0,0,1,0,0,0,0,2,2,590.0,26.0,1
荷花塘小区,荷花塘小区 房东诚心出售 看房提前联系,62,2室2厅,低层,6,南北向,1999.0,15323,95.0,余杭育才实验小学,0.59km,余杭,7个小区,0,1,1,0,0,0,1,0,0,0,0,2,2,590.0,27.0,1
清河家园,"清河家园精装一房,可改两房,楼层好",34,1室1厅,中层,6,南北向,2003.0,42647,145.0,杭州市教育科学研究所附属小学,0.32km,南星,7个小区,1,1,0,0,0,0,0,1,0,0,0,1,1,320.0,23.0,2
清河家园,清河家园 楼层 口 主卧朝南,46,2室1厅,中层,7,南北向,2003.0,42735,195.0,杭州市教育科学研究所附属小学,0.32km,南星,7个小区,1,1,0,0,0,0,0,1,0,0,0,2,1,320.0,23.0,2
荷花塘小区,"临平城区精装修2房,自住皆可",60,2室1厅,低层,6,南北向,1999.0,18333,110.0,余杭育才实验小学,0.59km,余杭,7个小区,0,1,1,0,0,0,1,0,0,0,0,2,1,590.0,27.0,1
荷花塘小区,临平公园旁 周边配套齐全 满二 一次性付款,64,1室0厅,高层,6,南北向,1999.0,14844,95.0,余杭育才实验小学,0.59km,余杭,7个小区,0,1,1,0,0,0,1,0,0,0,0,1,0,590.0,27.0,3
荷花塘小区,"无营业税 无贷款可带 荷花塘小区,诚心出售",61,2室1厅,低层,6,南北向,2000.0,13839,85.0,余杭育才实验小学,0.59km,余杭,7个小区,0,1,1,0,0,0,1,0,0,0,0,2,1,590.0,26.0,1
湖畔莲花港家园,"小区里面位置,不沿马路楼层又好,东边套全明户型,业主诚心出售",112,3室2厅,中层,7,南北向,2001.0,36938,415.0,杭州市翠苑第一小学文华校区,0.67km,西湖,16个小区,0,1,1,0,0,0,0,0,0,0,0,3,2,670.0,25.0,2
翰林花园,房源翰林花园 热门小区 边套电梯 贴沙河景 清爽精装,127,3室2厅,中层,18,南北向,2000.0,45669,580.0,杭州市大学路小学,0.57km,上城,12个小区,0,1,1,0,0,0,1,0,1,0,0,3,2,570.0,26.0,2
翰林花园,"翰林花园 03年小两房,南北通透,,房东诚心出售",46,2室1厅,高层,7,南北向,2003.0,41066,188.0,杭州市大学路小学,0.57km,上城,12个小区,0,1,1,0,0,0,1,0,1,0,0,2,1,570.0,23.0,3
翰林花园,"翰林花园,采光好,小区环境好,房东诚心出售。",127,3室2厅,高层,18,南北向,2002.0,39370,500.0,杭州市大学路小学,0.57km,上城,12个小区,0,1,1,0,0,0,1,0,1,0,0,3,2,570.0,24.0,3
翰林花园,"庆春路,浙一,金融街,小区环境,4房2,双卫东边套小区新",151,4室2厅,低层,18,南北向,2010.0,36450,550.0,杭州市大学路小学,0.57km,上城,12个小区,0,1,1,0,0,0,1,0,1,0,0,4,2,570.0,16.0,1
翰林花园,翰林花园 新出小户型 两房中间楼层 有钥匙,68,2室1厅,高层,6,南北向,2002.0,38235,260.0,杭州市大学路小学,0.57km,上城,12个小区,0,1,1,0,0,0,1,0,1,0,0,2,1,570.0,24.0,3
翰林花园,"市,翰林花园,带院子,精装修,配套齐全,",193,4室2厅,低层,7,南北向,2004.0,44041,850.0,杭州市大学路小学,0.57km,上城,12个小区,0,1,1,0,0,0,1,0,1,0,0,4,2,570.0,22.0,1
翰林花园,翰林花园 新出 3房户型 南北通透 采光阳光好 全明边套,129,3室2厅,高层,18,南北向,2002.0,39689,510.0,杭州市大学路小学,0.57km,上城,12个小区,0,1,1,0,0,0,1,0,1,0,0,3,2,570.0,24.0,3
湖畔莲花港家园,"湖畔莲花港 惊现大套2室 房东诚售!南北通透,",97,2室2厅,中层,6,南北向,2000.0,34021,330.0,杭州市翠苑第一小学文华校区,0.67km,西湖,16个小区,0,1,1,0,0,0,0,0,0,0,0,2,2,670.0,26.0,2
湖畔莲花港家园,"重返小资情调,温馨欧式婚房装全配全送!看了喜欢一切都好谈!!",116,3室2厅,中层,11,南北向,2000.0,30690,356.0,杭州市翠苑第一小学文华校区,0.67km,西湖,16个小区,0,1,1,0,0,0,0,0,0,0,0,3,2,670.0,26.0,2
湖畔莲花港家园,"12年30多万婚房小两房,全明通透,业主急售,南北通厅 !",90,2室2厅,中层,6,南北向,2000.0,30000,270.0,杭州市翠苑第一小学文华校区,0.67km,西湖,16个小区,0,1,1,0,0,0,0,0,0,0,0,2,2,670.0,26.0,2
翰林花园,"3室,南朝向超好户型,房主直降850万元,真急了!",193,3室3厅,低层,7,南向,2002.0,44041,850.0,杭州市大学路小学,0.57km,上城,12个小区,0,1,1,0,0,0,1,0,1,0,0,3,3,570.0,24.0,1
翰林花园,翰林花园 双卧朝南 跃层式送阁楼 单价实惠 首付3成,83,2室2厅,高层,6,南向,2004.0,37161,310.0,杭州市大学路小学,0.57km,上城,12个小区,0,1,1,0,0,0,1,0,1,0,0,2,2,570.0,22.0,3
